org_id.value,Tipo de cliente,Total_Actividades_com,Total_Llamadas_com,Llamadas_Efectivas_com,Llamadas_No_Efectivas_com,WA_Seguimiento_com,Reuniones_Hechas,Reuniones_Canceladas,Tipo Primer Contacto,Rango de Contacto,New Categories,R1yR2,Total_Actividades_exp,Total_Llamadas_exp,Llamadas_Efectivas_exp,Llamadas_No_Efectivas_exp,WA_Seguimiento_exp,Kickoff_Hechas,Kickoff_Canceladas,Capacitaciones_Hechas,Capacitaciones_Canceladas,Tipo Primera Capacitación,Onboarding,(C) (EXP) Plazo y Pago,Churn Comercial
206840.0,B,14,8,4,4,5,1,0,Efectiva,Fuera del rango,0,0,3,1,1,0,0,1,0,1,0,Hecha,No Finalizado,Anual,0
207142.0,A,14,6,6,0,7,1,0,Efectiva,Dentro del rango,0,0,3,1,0,1,0,1,0,1,0,Hecha,No Finalizado,Anual,0
207393.0,B,19,10,8,2,8,1,0,Efectiva,Fuera del rango,0,0,2,0,0,0,0,1,0,1,0,Hecha,No Finalizado,Anual,0
207428.0,B,22,13,10,3,7,2,0,Efectiva,Fuera del rango,0,0,6,4,3,1,1,1,0,0,0,No tuvo,No Finalizado,Anual,0
207806.0,B,6,3,2,1,2,1,0,Efectiva,Fuera del rango,0,0,1,0,0,0,0,0,1,0,0,No tuvo,No Finalizado,Mensual,1
207821.0,B,14,7,7,0,6,1,0,Efectiva,Fuera del rango,0,0,3,0,0,0,0,0,1,2,0,Hecha,No Finalizado,Anual,0
207846.0,C,9,1,1,0,7,1,0,No tuvo,Sin Llamada de primer contacto,0,0,5,1,1,0,3,0,0,0,1,Hecha,No Finalizado,Anual,0
207949.0,B,9,5,4,1,3,1,0,Efectiva,Fuera del rango,0,0,8,1,1,0,7,0,0,0,0,No tuvo,No Finalizado,Mensual,0
210560.0,A,18,9,8,1,7,1,1,Efectiva,Fuera del rango,0,0,1,0,0,0,0,1,0,0,0,No tuvo,No Finalizado,Anual,0
210627.0,B,6,3,3,0,2,1,0,Efectiva,Fuera del rango,0,0,5,0,0,0,2,1,0,2,0,Hecha,No Finalizado,Anual,0
210687.0,A,5,0,0,0,4,1,0,No tuvo,Sin Llamada de primer contacto,0,0,1,0,0,0,0,0,0,1,0,Hecha,No Finalizado,Anual,0
210748.0,B,3,1,1,0,2,0,0,No tuvo,Sin Llamada de primer contacto,0,0,5,0,0,0,2,1,0,2,0,Hecha,No Finalizado,Anual,0
210800.0,C,19,9,3,6,9,1,0,Efectiva,Fuera del rango,0,0,7,1,1,0,2,1,0,2,1,Hecha,No Finalizado,Anual,0
215878.0,B,8,3,3,0,4,1,0,Efectiva,Dentro del rango,0,0,10,1,1,0,2,0,0,7,0,Hecha,No Finalizado,Anual,0
215885.0,B,9,2,2,0,6,1,0,Efectiva,Dentro del rango,0,0,2,0,0,0,1,1,0,0,0,No tuvo,No Finalizado,Anual,0
216050.0,B,23,15,12,3,7,1,0,Efectiva,Fuera del rango,0,0,1,0,0,0,0,1,0,0,0,No tuvo,No Finalizado,Anual,0
